Авторы,Идентификатор автора(ов),Название,Год,Название источника,Том,Выпуск ,Статья №,Страница начала,Страница окончания,Количество страниц,Цитирования,DOI,Ссылка,Тип документа,Стадия публикации,Открытый доступ,Источник,EID
"Huang, S., Kumar, R., Flörke, M., Yang, T., Hundecha, Y., Kraft, P., Gao, C., Gelfan, A., Liersch, S., Lobanova, A., Strauch, M., van Ogtrop, F., Reinhardt, J., Haberlandt, U., Krysanova, V.","23990673400;57196190454;16205297300;56447476300;6507192742;35339084000;55732502900;6602256614;23110801100;56765617500;37031949900;8630884200;55489762700;6603152372;56035195600;","Erratum to: Evaluation of an ensemble of regional hydrological models in 12 large-scale river basins worldwide (Climatic Change, 10.1007/s10584-016-1841-8)",2017,"Climatic Change","141","3",,"399","400",,1,"10.1007/s10584-016-1895-7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85008470717&doi=10.1007%2fs10584-016-1895-7&partnerID=40&md5=6981cc95e117fcffc0442cd828416700",Erratum,"Final","All Open Access, Bronze, Green",Scopus,2-s2.0-85008470717
"Huang, S., Kumar, R., Flörke, M., Yang, T., Hundecha, Y., Kraft, P., Gao, C., Gelfan, A., Liersch, S., Lobanova, A., Strauch, M., van Ogtrop, F., Reinhardt, J., Haberlandt, U., Krysanova, V.","23990673400;57196190454;16205297300;56447476300;6507192742;35339084000;55732502900;6602256614;23110801100;56765617500;37031949900;8630884200;55489762700;6603152372;56035195600;","Evaluation of an ensemble of regional hydrological models in 12 large-scale river basins worldwide",2017,"Climatic Change","141","3",,"381","397",,56,"10.1007/s10584-016-1841-8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84992707492&doi=10.1007%2fs10584-016-1841-8&partnerID=40&md5=5957ba860dd598b09449f9819eb4c189",Article,"Final","",Scopus,2-s2.0-84992707492
"Gelfan, A., Gustafsson, D., Motovilov, Y., Arheimer, B., Kalugin, A., Krylenko, I., Lavrenov, A.","6602256614;56681896800;6603570450;6701506575;56071131000;16417477100;57189584283;","Climate change impact on the water regime of two great Arctic rivers: modeling and uncertainty issues",2017,"Climatic Change","141","3",,"499","515",,46,"10.1007/s10584-016-1710-5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84973160792&doi=10.1007%2fs10584-016-1710-5&partnerID=40&md5=86ea51b3fa020ef5a93d4f8acf087cc5",Article,"Final","All Open Access, Green",Scopus,2-s2.0-84973160792
"McMillan, H., Montanari, A., Cudennec, C., Savenije, H., Kreibich, H., Krueger, T., Liu, J., Mejia, A., Van Loon, A., Aksoy, H., Di Baldassarre, G., Huang, Y., Mazvimavi, D., Rogger, M., Sivakumar, B., Bibikova, T., Castellarin, A., Chen, Y., Finger, D., Gelfan, A., Hannah, D.M., Hoekstra, A.Y., Li, H., Maskey, S., Mathevet, T., Mijic, A., Acuña, A.P., Polo, M.J., Rosales, V., Smith, P., Viglione, A., Srinivasan, V., Toth, E., van Nooyen, R., Xia, J.","24171780800;55765625400;6603925381;7003427413;8146124100;15754095400;57200122300;24759250900;37029164400;57189114243;14120990400;57196142392;55909894600;48361766300;56277793100;23007344900;6603944928;56737387000;7003771163;6602256614;7006309552;7007050344;57206716460;6603388008;15623688400;55354024800;57194531457;12140930400;57188818231;55547131227;25824453700;57195436488;7103175905;36599453500;7402327199;","Panta Rhei 2013-2015: Global perspectives on hydrology, society and change",2016,"Hydrological Sciences Journal","61","7",,"1174","1191",,60,"10.1080/02626667.2016.1159308","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84963620251&doi=10.1080%2f02626667.2016.1159308&partnerID=40&md5=dab6f4006472570a710b56e6d4416f00",Article,"Final","All Open Access, Bronze, Green",Scopus,2-s2.0-84963620251
"Cudennec, C., Gelfan, A., Ren, L., Slimani, M.","6603925381;6602256614;7202372004;8534039000;","Hydrometeorology and hydroclimate",2016,"Advances in Meteorology","2016",,"1487890","","",,7,"10.1155/2016/1487890","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84978417758&doi=10.1155%2f2016%2f1487890&partnerID=40&md5=7abb2f09408e9f54cc6e4881f6916066",Editorial,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-84978417758
"Gelfan, A., Motovilov, Y., Krylenko, I., Moreido, V., Zakharova, E.","6602256614;6603570450;16417477100;56681224900;9043030100;","Testing the robustness of the physically-based ECOMAG model with respect to changing conditions [Evaluation de la robustesse du modèle à base physique ECOMAG dans un contexte de changement de l’environnement]",2015,"Hydrological Sciences Journal","60","7-8",,"1266","1285",,18,"10.1080/02626667.2014.935780","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84940596605&doi=10.1080%2f02626667.2014.935780&partnerID=40&md5=bcf76b2da161a1a01e48481ca3f3313d",Article,"Final","",Scopus,2-s2.0-84940596605
"Gelfan, A., Semenov, V.A., Gusev, E., Motovilov, Y., Nasonova, O., Krylenko, I., Kovalev, E.","6602256614;56879243400;7102224522;6603570450;6604093586;16417477100;15064186700;","Large-basin hydrological response to climate model outputs: Uncertainty caused by internal atmospheric variability",2015,"Hydrology and Earth System Sciences","19","6",,"2737","2754",,24,"10.5194/hess-19-2737-2015","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84935008046&doi=10.5194%2fhess-19-2737-2015&partnerID=40&md5=cc40f69d25b3bf0f4eb88174214ee524",Article,"Final","All Open Access, Gold",Scopus,2-s2.0-84935008046
"Gelfan, A.N., Semenov, V.A., Motovilov, Yu.G.","6602256614;56879243400;6603570450;","Climate noise effect on uncertainty of hydrological extremes: Numerical experiments with hydrological and climate models",2015,"IAHS-AISH Proceedings and Reports","369",,,"49","53",,3,"10.5194/piahs-369-49-2015","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84954423090&doi=10.5194%2fpiahs-369-49-2015&partnerID=40&md5=9617dfac9dd3819f9fa3c7f2135cdfb3",Conference Paper,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-84954423090
"Gelfan, A.N., Motovilov, Yu.G., Moreido, V.M.","6602256614;6603570450;56681224900;","Ensemble seasonal forecast of extreme water inflow into a large reservoir",2015,"IAHS-AISH Proceedings and Reports","369",,,"115","120",,4,"10.5194/piahs-369-115-2015","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84954416320&doi=10.5194%2fpiahs-369-115-2015&partnerID=40&md5=2b42e0afaf2b38502eddd8c9b0bb49f0",Conference Paper,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-84954416320
"Danilov-Danil’yan, V.I., Gel’fan, A.N.","56413017900;6602256614;","On the rostrum of the RAS presidium",2014,"Herald of the Russian Academy of Sciences","84","5",,"335","343",,4,"10.1134/S1019331614050013","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84909996228&doi=10.1134%2fS1019331614050013&partnerID=40&md5=65e6da0651d953db4dc93fb452e6a3cd",Article,"Final","",Scopus,2-s2.0-84909996228
"Ehret, U., Gupta, H.V., Sivapalan, M., Weijs, S.V., Schymanski, S.J., Blöschl, G., Gelfan, A.N., Harman, C., Kleidon, A., Bogaard, T.A., Wang, D., Wagener, T., Scherer, U., Zehe, E., Bierkens, M.F.P., Di Baldassarre, G., Parajka, J., Van Beek, L.P.H., Van Griensven, A., Westhoff, M.C., Winsemius, H.C.","26631776300;35601880000;56223343300;23494094100;22951572100;7004862771;6602256614;55786568600;6603941796;6601952412;57205085403;8363445500;7003448637;6603178985;7004413991;14120990400;14825561100;8628579900;6602848973;16445154000;15128343400;","Advancing catchment hydrology to deal with predictions under change",2014,"Hydrology and Earth System Sciences","18","2",,"649","671",,54,"10.5194/hess-18-649-2014","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84897624589&doi=10.5194%2fhess-18-649-2014&partnerID=40&md5=b2831b9174fd24711a15c0aa8a732eec",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-84897624589
"McIntyre, N., Ballard, C., Bruen, M., Bulygina, N., Buytaert, W., Cluckie, I., Dunn, S., Ehret, U., Ewen, J., Gelfan, A., Hess, T., Hughes, D., Jackson, B., Kjeldsen, T.R., Merz, R., Park, J.-S., O'Connell, E., O'Donnell, G., Oudin, L., Todini, E., Wagener, T., Wheater, H.","8275789200;43661024800;7003398142;35363642500;6506727482;7004570456;57197789642;26631776300;7005260656;6602256614;7101870430;7403464327;56209455600;56238341600;7004782811;36835329500;7202734019;57205552353;8299890400;56279190400;8363445500;7006844456;","Modelling the hydrological impacts of rural land use change",2014,"Hydrology Research","45","6",,"737","754",,32,"10.2166/nh.2013.145","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84907421637&doi=10.2166%2fnh.2013.145&partnerID=40&md5=1227513e60eb0febea238b3fc00676a2",Article,"Final","",Scopus,2-s2.0-84907421637
"Danilov-Danilyan, V.I., Gelfan, A.N., Motovilov, Y.G., Kalugin, A.S.","24793681700;6602256614;6603570450;56071131000;","Disastrous flood of 2013 in the Amur basin: Genesis, recurrence assessment, simulation results",2014,"Water Resources","41","2",,"115","125",,24,"10.1134/S0097807814020055","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84896337736&doi=10.1134%2fS0097807814020055&partnerID=40&md5=0d50a0d1de0e2eef95422d9dec8f2944",Article,"Final","",Scopus,2-s2.0-84896337736
"Kuchment, L.S., Gelfan, A.N., Demidov, V.N.","7003897223;6602256614;7202284590;","A model for the hydrological cycle of a forested catchment and assessment of the changes caused in water balance by cuttings",2013,"Contemporary Problems of Ecology","6","7",,"770","778",,,"10.1134/S1995425513070147","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84891678009&doi=10.1134%2fS1995425513070147&partnerID=40&md5=58c1f95268b46a118e0b1dfb87fcbcf4",Article,"Final","",Scopus,2-s2.0-84891678009
"Hrachowitz, M., Savenije, H.H.G., Blöschl, G., McDonnell, J.J., Sivapalan, M., Pomeroy, J.W., Arheimer, B., Blume, T., Clark, M.P., Ehret, U., Fenicia, F., Freer, J.E., Gelfan, A., Gupta, H.V., Hughes, D.A., Hut, R.W., Montanari, A., Pande, S., Tetzlaff, D., Troch, P.A., Uhlenbrook, S., Wagener, T., Winsemius, H.C., Woods, R.A., Zehe, E., Cudennec, C.","8682392100;7003427413;7004862771;7101838542;56223343300;24492458800;6701506575;22133315100;35453194100;26631776300;8636378000;7005673386;6602256614;35601880000;7403464327;23488924100;55765625400;16068916900;9038954000;7005447740;7004218809;8363445500;15128343400;7401705890;6603178985;6603925381;","A decade of Predictions in Ungauged Basins (PUB)-a review",2013,"Hydrological Sciences Journal","58","6",,"1198","1255",,538,"10.1080/02626667.2013.803183","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84883487379&doi=10.1080%2f02626667.2013.803183&partnerID=40&md5=49514060fe4ee14fb9adeeff2f4fc2a9",Review,"Final","",Scopus,2-s2.0-84883487379
"Gelfan, A., Yang, D., Gusev, Y., Kunstmann, H.","6602256614;7404801211;7102224522;6603129131;","Preface",2013,"IAHS-AISH Proceedings and Reports","360",,,"v","vi",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84900452657&partnerID=40&md5=087a3adf4e235f5c010bff4357448fca",Editorial,"Final","",Scopus,2-s2.0-84900452657
"Barenboim, G.M., Danilov-Danilyan, V.I., Gelfan, A.N., Motovilov, Yu.G.","55354098200;24793681700;6602256614;6603570450;","On the problems of water quality in Russia and some approaches to their solution",2013,"IAHS-AISH Proceedings and Reports","361",,,"77","86",,2,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84900389833&partnerID=40&md5=1cf2e7e8ac9c03ab54177d8126535a67",Conference Paper,"Final","",Scopus,2-s2.0-84900389833
"Motovilov, Yu.G., Gelfan, A.N.","6603570450;6602256614;","Assessing runoff sensitivity to climate change in the Arctic basin: Empirical and modelling approaches",2013,"IAHS-AISH Proceedings and Reports","360",,,"105","112",,18,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84896375022&partnerID=40&md5=20ec4b91e722ed2c4b0441f5fc78a82f",Conference Paper,"Final","",Scopus,2-s2.0-84896375022
"Yang, D., Marsh, P., Gelfan, A.","7404801211;57190731341;6602256614;","Preface",2011,"IAHS-AISH Publication","346",,,"","",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84860583688&partnerID=40&md5=c2de1c5addfc6ed5790873d4419997f6",Editorial,"Final","",Scopus,2-s2.0-84860583688
"Kuchment, L.S., Gelfan, A.N.","7003897223;6602256614;","Assessment of extreme flood characteristics based on a dynamic-stochastic model of runoff generation and the probable maximum discharge",2011,"IAHS-AISH Publication","347",,,"29","35",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84860574558&partnerID=40&md5=865907345e1b97acf6286e40c95a3d02",Conference Paper,"Final","",Scopus,2-s2.0-84860574558
"Gelfan, A.N.","6602256614;","Modelling hydrological consequences of climate change in the permafrost region and assessment of their uncertainty",2011,"IAHS-AISH Publication","346",,,"92","97",,4,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84860572585&partnerID=40&md5=bc2918bd01bd4595da63b099bdd87929",Conference Paper,"Final","",Scopus,2-s2.0-84860572585
"Kuchment, L.S., Gel'fan, A.N., Demidov, V.N., Romanov, P.Y.","7003897223;6602256614;7202284590;7006338905;","The use of satellite information for precomputing the snowmelt runoff hydrograph",2011,"Russian Meteorology and Hydrology","36","9",,"630","637",,,"10.3103/S1068373911090093","https://www.scopus.com/inward/record.uri?eid=2-s2.0-80053981383&doi=10.3103%2fS1068373911090093&partnerID=40&md5=280972000c8262340afb87a04adb4636",Article,"Final","",Scopus,2-s2.0-80053981383
"Kuchment, L.S., Gelfan, A.N.","7003897223;6602256614;","Assessment of extreme flood characteristics based on a dynamic-stochastic model of runoff generation and the probable maximum discharge",2011,"Journal of Flood Risk Management","4","2",,"115","127",,7,"10.1111/j.1753-318X.2011.01096.x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-79956146728&doi=10.1111%2fj.1753-318X.2011.01096.x&partnerID=40&md5=6ea9dc95be5a7420f4def56319faf540",Article,"Final","",Scopus,2-s2.0-79956146728
"Kuchment, L.S., Gelfan, A.N., Demidov, V.N.","7003897223;6602256614;7202284590;","A spatial model of snowmelt-rainfall runoff formation of the mountain river (by the example of the Upper Kuban River)",2010,"Russian Meteorology and Hydrology","35","12",,"842","850",,,"10.3103/S1068373910120083","https://www.scopus.com/inward/record.uri?eid=2-s2.0-79551672169&doi=10.3103%2fS1068373910120083&partnerID=40&md5=51993c3c8ab43a9ea51573edb30b8c80",Article,"Final","",Scopus,2-s2.0-79551672169
"Kuchment, L.S., Gelfan, A.N.","7003897223;6602256614;","The joint use of deterministic and probabilistic approaches to the computation of maximum runoff characteristics",2010,"Russian Meteorology and Hydrology","35","6",,"411","420",,,"10.3103/S1068373910060087","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77955780147&doi=10.3103%2fS1068373910060087&partnerID=40&md5=841b3c61b710f753608e0d4699ac454c",Article,"Final","",Scopus,2-s2.0-77955780147
"Gelfan, A.","6602256614;","Extreme snowmelt floods: Frequency assessment and analysis of genesis on the basis of the dynamic-stochastic approach",2010,"Journal of Hydrology","388","1-2",,"85","99",,11,"10.1016/j.jhydrol.2010.04.031","https://www.scopus.com/inward/record.uri?eid=2-s2.0-78650178419&doi=10.1016%2fj.jhydrol.2010.04.031&partnerID=40&md5=0bcc264ce3895560cbbcdbf90025e876",Article,"Final","",Scopus,2-s2.0-78650178419
"Kuchment, L.S., Romanov, P., Gelfan, A.N., Demidov, V.N.","7003897223;7006338905;6602256614;7202284590;","Use of satellite-derived data for characterization of snow cover and simulation of snowmelt runoff through a distributed physically based model of runoff generation",2010,"Hydrology and Earth System Sciences","14","2",,"339","350",,33,"10.5194/hess-14-339-2010","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77649131415&doi=10.5194%2fhess-14-339-2010&partnerID=40&md5=610b7d55e5349c35d007170ee9cf306c",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-77649131415
"Kuchment, L., Gelfan, A.","7003897223;6602256614;","Assessing parameters of physically-based models for poorly gauged basins",2009,"IAHS-AISH Publication","333",,,"3","10",,7,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-78751660481&partnerID=40&md5=1254a5096253ee3a0ad4316d747e21ba",Conference Paper,"Final","",Scopus,2-s2.0-78751660481
