Авторы,Идентификатор автора(ов),Название,Год,Название источника,Том,Выпуск ,Статья №,Страница начала,Страница окончания,Количество страниц,Цитирования,DOI,Ссылка,Организации,Авторы организаций,Адрес для корреспонденции,Редакторы,Издатель,ISSN,ISBN,CODEN,Идентификатор PubMed,Язык оригинального документа,Сокращенное название источника,Тип документа,Стадия публикации,Open Access (открытый доступ),Источник,EID
"Amaranto A., Pianosi F., Solomatine D., Corzo G., Muñoz-Arriola F.","57200660326;24166895100;6601958160;16416535700;35435670800;","Sensitivity analysis of data-driven groundwater forecasts to hydroclimatic controls in irrigated croplands",2020,"Journal of Hydrology","587",, 124957,"","",,5,"10.1016/j.jhydrol.2020.124957","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85083481310&doi=10.1016%2fj.jhydrol.2020.124957&partnerID=40&md5=57bb00320aa8de71b08099a3af737304","Department of Biological Systems Engineering, University of Nebraska-Lincoln, Lincoln, NE, United States; Hydroinformatics Chair Group, IHE Delft Institute for Water Education, Delft, Netherlands; Department of Electronics, Information and Bioengineering, Politecnico di Milano, Milano, Italy; Department of Civil Engineering, University of Bristol, Bristol, United Kingdom; Water Resources Section, Delft University of Technology, Delft, Netherlands; Water Problem Institute of RAS, Moscow, Russian Federation; School of Natural Resources, University of Nebraska-Lincoln, Lincoln, NE, United States","Amaranto, A., Department of Biological Systems Engineering, University of Nebraska-Lincoln, Lincoln, NE, United States, Hydroinformatics Chair Group, IHE Delft Institute for Water Education, Delft, Netherlands, Department of Electronics, Information and Bioengineering, Politecnico di Milano, Milano, Italy; Pianosi, F., Department of Civil Engineering, University of Bristol, Bristol, United Kingdom; Solomatine, D., Hydroinformatics Chair Group, IHE Delft Institute for Water Education, Delft, Netherlands, Water Resources Section, Delft University of Technology, Delft, Netherlands, Water Problem Institute of RAS, Moscow, Russian Federation; Corzo, G., Hydroinformatics Chair Group, IHE Delft Institute for Water Education, Delft, Netherlands; Muñoz-Arriola, F., Department of Biological Systems Engineering, University of Nebraska-Lincoln, Lincoln, NE, United States, School of Natural Resources, University of Nebraska-Lincoln, Lincoln, NE, United States","Muñoz-Arriola, F.; Department of Biological Systems Engineering, United States; эл. почта: fmunoz@unl.edu",,"Elsevier B.V.",00221694,,JHYDA,,"English","J. Hydrol.",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85083481310
"Jiang S., Zheng Y., Solomatine D.","57188877493;56409084200;6601958160;","Improving AI System Awareness of Geoscience Knowledge: Symbiotic Integration of Physical Approaches and Deep Learning",2020,"Geophysical Research Letters","47","13", e2020GL088229,"","",,6,"10.1029/2020GL088229","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85087974655&doi=10.1029%2f2020GL088229&partnerID=40&md5=5aa414a3871b1565454fcfc67a4e67e8","School of Environmental Science and Engineering, Southern University of Science and Technology, Shenzhen, China; Department of Civil and Environmental Engineering, National University of Singapore, Singapore; Shenzhen Municipal Engineering Lab of Environmental IoT Technologies, Southern University of Science and Technology, Shenzhen, China; Department of Hydroinformatics and Socio-Technical Innovation, IHE Delft Institute for Water Education, Delft, Netherlands; Department of Water Management, Delft University of Technology, Delft, Netherlands; Water Problems Institute, Russian Academy of Sciences, Moscow, Russian Federation","Jiang, S., School of Environmental Science and Engineering, Southern University of Science and Technology, Shenzhen, China, Department of Civil and Environmental Engineering, National University of Singapore, Singapore; Zheng, Y., School of Environmental Science and Engineering, Southern University of Science and Technology, Shenzhen, China, Shenzhen Municipal Engineering Lab of Environmental IoT Technologies, Southern University of Science and Technology, Shenzhen, China; Solomatine, D., Department of Hydroinformatics and Socio-Technical Innovation, IHE Delft Institute for Water Education, Delft, Netherlands, Department of Water Management, Delft University of Technology, Delft, Netherlands, Water Problems Institute, Russian Academy of Sciences, Moscow, Russian Federation","Zheng, Y.; School of Environmental Science and Engineering, China; эл. почта: zhengy@sustech.edu.cn
Zheng, Y.; Shenzhen Municipal Engineering Lab of Environmental IoT Technologies, China; эл. почта: zhengy@sustech.edu.cn",,"Blackwell Publishing Ltd",00948276,,GPRLA,,"English","Geophys. Res. Lett.",Article,"Final","All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-85087974655
"Popkov Y.S., Popkov A.Y., Dubnov Y.A., Solomatine D.","7006921474;56254217100;57189456364;6601958160;","Entropy-randomized forecasting of stochastic dynamic regression models",2020,"Mathematics","8","7", 1119,"","",,2,"10.3390/math8071119","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85087916592&doi=10.3390%2fmath8071119&partnerID=40&md5=a6debd396f07cb9036e3039bd8a10031","Federal Research Center Computer Science and Control of Russian Academy of Sciences, Moscow, 119333, Russian Federation; Institute of Control Sciences of Russian Academy of Sciences, Moscow, 117997, Russian Federation; Department of Software Engineering, ORT Braude College, Carmiel, 2161002, Israel; National Research University Higher School of Economics, Moscow, 101000, Russian Federation; IHE Delft Institute for Water Education, Delft, 2601, Netherlands","Popkov, Y.S., Federal Research Center Computer Science and Control of Russian Academy of Sciences, Moscow, 119333, Russian Federation, Institute of Control Sciences of Russian Academy of Sciences, Moscow, 117997, Russian Federation, Department of Software Engineering, ORT Braude College, Carmiel, 2161002, Israel; Popkov, A.Y., Federal Research Center Computer Science and Control of Russian Academy of Sciences, Moscow, 119333, Russian Federation; Dubnov, Y.A., Federal Research Center Computer Science and Control of Russian Academy of Sciences, Moscow, 119333, Russian Federation, National Research University Higher School of Economics, Moscow, 101000, Russian Federation; Solomatine, D., IHE Delft Institute for Water Education, Delft, 2601, Netherlands","Popkov, Y.S.; Federal Research Center Computer Science and Control of Russian Academy of SciencesRussian Federation; эл. почта: popkov@isa.ru",,"MDPI AG",22277390,,,,"English","Mathematics",Article,"Final","All Open Access, Gold",Scopus,2-s2.0-85087916592
"Diaz V., Corzo Perez G.A., Van Lanen H.A.J., Solomatine D., Varouchakis E.A.","57214021185;16416535700;6701418228;6601958160;24400479200;","Characterisation of the dynamics of past droughts",2020,"Science of the Total Environment","718",, 134588,"","",,5,"10.1016/j.scitotenv.2019.134588","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85076545997&doi=10.1016%2fj.scitotenv.2019.134588&partnerID=40&md5=8789bae52094cdb688ad14f84567db49","IHE Delft Institute for Water Education, Hydroinformatics Chair group, Delft, DA  2601, Netherlands; Delft University of Technology, Water Resources Section, Delft, Netherlands; Hydrology and Quantitative Water Management Group, Wageningen University, Wageningen, Netherlands; Water Problems Institute of the Russian Academy of SciencesMoscow, Russian Federation; School of Environmental Engineering, Technical University of Crete, Chania, Greece","Diaz, V., IHE Delft Institute for Water Education, Hydroinformatics Chair group, Delft, DA  2601, Netherlands, Delft University of Technology, Water Resources Section, Delft, Netherlands; Corzo Perez, G.A., IHE Delft Institute for Water Education, Hydroinformatics Chair group, Delft, DA  2601, Netherlands; Van Lanen, H.A.J., Hydrology and Quantitative Water Management Group, Wageningen University, Wageningen, Netherlands; Solomatine, D., IHE Delft Institute for Water Education, Hydroinformatics Chair group, Delft, DA  2601, Netherlands, Delft University of Technology, Water Resources Section, Delft, Netherlands, Water Problems Institute of the Russian Academy of SciencesMoscow, Russian Federation; Varouchakis, E.A., School of Environmental Engineering, Technical University of Crete, Chania, Greece","Diaz, V.; IHE Delft Institute for Water Education, Netherlands; эл. почта: vdiazmercado@tudelft.nl",,"Elsevier B.V.",00489697,,STEVA,"31848056","English","Sci. Total Environ.",Article,"Final","",Scopus,2-s2.0-85076545997
"Fava M.C., Mazzoleni M., Abe N., Mendiondo E.M., Solomatine D.P.","56319060100;56069413500;57194718803;7801402127;6601958160;","Improving flood forecasting using an input correction method in urban models in poorly gauged areas",2020,"Hydrological Sciences Journal","65","7",,"1096","1111",,1,"10.1080/02626667.2020.1729984","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85081295605&doi=10.1080%2f02626667.2020.1729984&partnerID=40&md5=36e20d55c8c72a9594b33b0843293db5","Department of Hydraulic Engineering and Sanitation, São Carlos School of Engineering, University of São Paulo, São Carlos, São Paulo, Brazil; Department of Earth Sciences, Program for Air, Water and Landscape Sciences, Uppsala University, Uppsala, Sweden; Centre of Natural Hazards and Disaster Science (CNDS), Uppsala University, Uppsala, Sweden; Chair Group of Hydroinformatics, IHE Delft Institute for Water Education, Delft, Netherlands; Water Resources Section, Delft University of Technology, Delft, Netherlands","Fava, M.C., Department of Hydraulic Engineering and Sanitation, São Carlos School of Engineering, University of São Paulo, São Carlos, São Paulo, Brazil; Mazzoleni, M., Department of Earth Sciences, Program for Air, Water and Landscape Sciences, Uppsala University, Uppsala, Sweden, Centre of Natural Hazards and Disaster Science (CNDS), Uppsala University, Uppsala, Sweden; Abe, N., Department of Hydraulic Engineering and Sanitation, São Carlos School of Engineering, University of São Paulo, São Carlos, São Paulo, Brazil; Mendiondo, E.M., Department of Hydraulic Engineering and Sanitation, São Carlos School of Engineering, University of São Paulo, São Carlos, São Paulo, Brazil; Solomatine, D.P., Chair Group of Hydroinformatics, IHE Delft Institute for Water Education, Delft, Netherlands, Water Resources Section, Delft University of Technology, Delft, Netherlands","Fava, M.C.; Department of Hydraulic Engineering and Sanitation, Av. Trabalhador Sãocarlense, 400 CP 359, Sp Cep, Brazil; эл. почта: mclarafava@usp.br",,"Taylor and Francis Ltd.",02626667,,HSJOD,,"English","Hydrol. Sci. J.",Article,"Final","",Scopus,2-s2.0-85081295605
"Uribe N., Srinivasan R., Corzo G., Arango D., Solomatine D.","57203033078;7401951879;16416535700;56678611500;6601958160;","Spatio-temporal critical source area patterns of runoff pollution from agricultural practices in the Colombian Andes",2020,"Ecological Engineering","149",, 105810,"","",,3,"10.1016/j.ecoleng.2020.105810","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85082761943&doi=10.1016%2fj.ecoleng.2020.105810&partnerID=40&md5=eb6ea45d1d37d3127a807608aeb3a6f1","Department of IWSG, IHE-Delft Institute for Water Education, P.O. Box 3015, Delft, 2601 DA, Netherlands; Faculty of Civil Engineering and Geosciences, Delft University of Technology, P.O. Box 5048, Delft, 2600 GA, Netherlands; Spatial Science Laboratory, Texas A&M University, College Station, TX  77843, United States; Faculty of Engineering and Science, School of Natural Sciences and Mathematics, Pontifical Xavierian University - Cali, Calle 18 No., Cali, 118-250, Colombia","Uribe, N., Department of IWSG, IHE-Delft Institute for Water Education, P.O. Box 3015, Delft, 2601 DA, Netherlands, Faculty of Civil Engineering and Geosciences, Delft University of Technology, P.O. Box 5048, Delft, 2600 GA, Netherlands; Srinivasan, R., Spatial Science Laboratory, Texas A&M University, College Station, TX  77843, United States; Corzo, G., Department of IWSG, IHE-Delft Institute for Water Education, P.O. Box 3015, Delft, 2601 DA, Netherlands; Arango, D., Faculty of Engineering and Science, School of Natural Sciences and Mathematics, Pontifical Xavierian University - Cali, Calle 18 No., Cali, 118-250, Colombia; Solomatine, D., Department of IWSG, IHE-Delft Institute for Water Education, P.O. Box 3015, Delft, 2601 DA, Netherlands, Faculty of Civil Engineering and Geosciences, Delft University of Technology, P.O. Box 5048, Delft, 2600 GA, Netherlands","Uribe, N.; Department of IWSG, P.O. Box 3015, Netherlands; эл. почта: n.uribe@un-ihe.org",,"Elsevier B.V.",09258574,,ECENE,,"English","Ecol. Eng.",Article,"Final","",Scopus,2-s2.0-85082761943
"Ritter J., Corzo G., Solomatine D.P., Angarita H.","57214221203;16416535700;6601958160;56736802100;","Multiobjective Direct Policy Search Using Physically Based Operating Rules in Multireservoir Systems",2020,"Journal of Water Resources Planning and Management","146","4", 05020002,"","",,1,"10.1061/(ASCE)WR.1943-5452.0001159","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85078401436&doi=10.1061%2f%28ASCE%29WR.1943-5452.0001159&partnerID=40&md5=f494b098454f1ae17b87e0d0b3c547ff","Center of Applied Research in Hydrometeorology, Universitat Politècnica de Catalunya, Jordi Girona 1-3 (C4), Barcelona, 08034, Spain; Department Group of Hydroinformatics, IHE Delft Institute for Water Education, Westvest 7, Delft, 2611AX, Netherlands; Water Resources Section, Delft Univ. of Technology, Mekelweg 5, Delft, 2628CD, Netherlands; Flood Hydrology Lab, Water Problems Institute of RAS, Gubkina St. 3, Moscow, 119333, Russian Federation; Latin America Centre, Stockholm Environment Institute, Calle 71 No. 11-10 Of. 801, Bogotá, 110231, Colombia","Ritter, J., Center of Applied Research in Hydrometeorology, Universitat Politècnica de Catalunya, Jordi Girona 1-3 (C4), Barcelona, 08034, Spain; Corzo, G., Department Group of Hydroinformatics, IHE Delft Institute for Water Education, Westvest 7, Delft, 2611AX, Netherlands; Solomatine, D.P., Department Group of Hydroinformatics, IHE Delft Institute for Water Education, Westvest 7, Delft, 2611AX, Netherlands, Water Resources Section, Delft Univ. of Technology, Mekelweg 5, Delft, 2628CD, Netherlands, Flood Hydrology Lab, Water Problems Institute of RAS, Gubkina St. 3, Moscow, 119333, Russian Federation; Angarita, H., Latin America Centre, Stockholm Environment Institute, Calle 71 No. 11-10 Of. 801, Bogotá, 110231, Colombia","Ritter, J.; Center of Applied Research in Hydrometeorology, Jordi Girona 1-3 (C4), Spain; эл. почта: ritterjosias@gmail.com",,"American Society of Civil Engineers (ASCE)",07339496,,,,"English","J. Water Resour. Plann. Manage.",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85078401436
"Hagen J.S., Cutler A., Trambauer P., Weerts A., Suarez P., Solomatine D.","57211534362;57218999776;36997608000;6602950477;8730275800;6601958160;","Development and evaluation of flood forecasting models for forecast-based financing using a novel model suitability matrix",2020,"Progress in Disaster Science","6",, 100076,"","",,,"10.1016/j.pdisas.2020.100076","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85090925731&doi=10.1016%2fj.pdisas.2020.100076&partnerID=40&md5=af6dd1f7961ae325d38b5f6889d5a7ee","UNESCO-IHE Institute for Water Education, Department for Water Science and Engineering, Westvest 7, Delft, AX  2611, Netherlands; Deltares, Inland Water Systems Division, Boussinesqweg 1, Delft, HV  2629, Netherlands; Boston University, College of Engineering, Department of Electrical Engineering, 8 St. Mary's Street, Boston, MA  02215, United States; Wageningen University and Research, Hydrology and Quantitative Water Management Group, Department of Environmental Sciences, Lumen, Droevendaalsesteeg 3a, Wageningen, PB  6708, Netherlands; Red Cross Red Crescent Climate Centre, Anna van Saksenlaan 50, Den Haag, HT  2593, Netherlands; University College London, Department of Science, Technology, Engineering and Public Policy, 36-37 Fitzroy Square, London, W1T 6EY, United Kingdom; Delft University of Technology, Water Resources Section, Building 23, Stevinweg 1, Delft, CN  2628, Netherlands","Hagen, J.S., UNESCO-IHE Institute for Water Education, Department for Water Science and Engineering, Westvest 7, Delft, AX  2611, Netherlands, Deltares, Inland Water Systems Division, Boussinesqweg 1, Delft, HV  2629, Netherlands; Cutler, A., Boston University, College of Engineering, Department of Electrical Engineering, 8 St. Mary's Street, Boston, MA  02215, United States; Trambauer, P., Deltares, Inland Water Systems Division, Boussinesqweg 1, Delft, HV  2629, Netherlands; Weerts, A., Deltares, Inland Water Systems Division, Boussinesqweg 1, Delft, HV  2629, Netherlands, Wageningen University and Research, Hydrology and Quantitative Water Management Group, Department of Environmental Sciences, Lumen, Droevendaalsesteeg 3a, Wageningen, PB  6708, Netherlands; Suarez, P., Red Cross Red Crescent Climate Centre, Anna van Saksenlaan 50, Den Haag, HT  2593, Netherlands, University College London, Department of Science, Technology, Engineering and Public Policy, 36-37 Fitzroy Square, London, W1T 6EY, United Kingdom; Solomatine, D., UNESCO-IHE Institute for Water Education, Department for Water Science and Engineering, Westvest 7, Delft, AX  2611, Netherlands, Delft University of Technology, Water Resources Section, Building 23, Stevinweg 1, Delft, CN  2628, Netherlands","Hagen, J.S.; University of Bergen, Allegaten 70, Norway; эл. почта: jenny.hagen@uib.no",,"Elsevier Ltd",25900617,,,,"English","Prog. Disaster Sci.",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85090925731
"Diaz V., Corzo Perez G.A., Van Lanen H.A.J., Solomatine D., Varouchakis E.A.","57214021185;16416535700;6701418228;6601958160;24400479200;","An approach to characterise spatio-temporal drought dynamics",2020,"Advances in Water Resources","137",, 103512,"","",,6,"10.1016/j.advwatres.2020.103512","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85078704511&doi=10.1016%2fj.advwatres.2020.103512&partnerID=40&md5=384bdabec6bc60bdbfb9624d2909ee6e","IHE Delft Institute for Water Education, Hydroinformatics Chair group, Delft, 2601 DA, Netherlands; Delft University of Technology, Water Resources Section, Delft, Netherlands; Hydrology and Quantitative Water Management Group, Wageningen University, Wageningen, Netherlands; Water Problems Institute of the Russian Academy of SciencesMoscow, Russian Federation; School of Environmental Engineering, Technical University of Crete, Chania, Greece","Diaz, V., IHE Delft Institute for Water Education, Hydroinformatics Chair group, Delft, 2601 DA, Netherlands, Delft University of Technology, Water Resources Section, Delft, Netherlands; Corzo Perez, G.A., IHE Delft Institute for Water Education, Hydroinformatics Chair group, Delft, 2601 DA, Netherlands; Van Lanen, H.A.J., Hydrology and Quantitative Water Management Group, Wageningen University, Wageningen, Netherlands; Solomatine, D., IHE Delft Institute for Water Education, Hydroinformatics Chair group, Delft, 2601 DA, Netherlands, Delft University of Technology, Water Resources Section, Delft, Netherlands, Water Problems Institute of the Russian Academy of SciencesMoscow, Russian Federation; Varouchakis, E.A., School of Environmental Engineering, Technical University of Crete, Chania, Greece","Diaz, V.; IHE Delft Institute for Water Education, Westvest 7, 2601 DA, Netherlands; эл. почта: v.diazmercado@tudelft.nl",,"Elsevier Ltd",03091708,,AWRED,,"English","Adv. Water Resour.",Article,"Final","All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-85078704511
"Quintiliani C., Marquez-Calvo O., Alfonso L., Di Cristo C., Leopardi A., Solomatine D.P., De Marinis G.","56826126600;57208343318;35796956100;57201073294;24076344500;6601958160;14047924100;","Multiobjective Valve Management Optimization Formulations for Water Quality Enhancement in Water Distribution Networks",2019,"Journal of Water Resources Planning and Management","145","12", 04019061,"","",,4,"10.1061/(ASCE)WR.1943-5452.0001133","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85073053256&doi=10.1061%2f%28ASCE%29WR.1943-5452.0001133&partnerID=40&md5=05e564d1599e83ab78cbf393f149d2e6","Water Infrastructure Team, KWR Water Research Institute, Groningenhaven 7, Nieuwegein, 3433 PE, Netherlands; Dept. Civil Engineering and Architecture, Univ. of Pavia, Via Ferrata 3, Pavia, 27100, Italy; Dept. of Civil and Mechanical Engineering, Univ. of Cassino and Southern Lazio, Via di Biasio 43, Cassino, 03043, Italy; Hydroinformatics Department Group, IHE-Delft, Institute for Water Education, P.O. Box 3015, Delft, NL-2601 DA, Netherlands; Dept. of Civil, Architectural and Environmental Engineering, Univ. of Naples Federico II, Via Claudio 21, Naples, 80100, Italy; Water Resources Section, Delft Univ. of Technology, Postbus 5, Delft, 2600 AA, Netherlands; Water Problems Institute of RAS, Gubkina St., 3, Moscow, 119333, Russian Federation","Quintiliani, C., Water Infrastructure Team, KWR Water Research Institute, Groningenhaven 7, Nieuwegein, 3433 PE, Netherlands, Dept. Civil Engineering and Architecture, Univ. of Pavia, Via Ferrata 3, Pavia, 27100, Italy, Dept. of Civil and Mechanical Engineering, Univ. of Cassino and Southern Lazio, Via di Biasio 43, Cassino, 03043, Italy; Marquez-Calvo, O., Hydroinformatics Department Group, IHE-Delft, Institute for Water Education, P.O. Box 3015, Delft, NL-2601 DA, Netherlands; Alfonso, L., Hydroinformatics Department Group, IHE-Delft, Institute for Water Education, P.O. Box 3015, Delft, NL-2601 DA, Netherlands; Di Cristo, C., Dept. of Civil, Architectural and Environmental Engineering, Univ. of Naples Federico II, Via Claudio 21, Naples, 80100, Italy; Leopardi, A., Dept. of Civil and Mechanical Engineering, Univ. of Cassino and Southern Lazio, Via di Biasio 43, Cassino, 03043, Italy; Solomatine, D.P., Hydroinformatics Department Group, IHE-Delft, Institute for Water Education, P.O. Box 3015, Delft, NL-2601 DA, Netherlands, Water Resources Section, Delft Univ. of Technology, Postbus 5, Delft, 2600 AA, Netherlands, Water Problems Institute of RAS, Gubkina St., 3, Moscow, 119333, Russian Federation; De Marinis, G., Dept. of Civil and Mechanical Engineering, Univ. of Cassino and Southern Lazio, Via di Biasio 43, Cassino, 03043, Italy","Quintiliani, C.; Water Infrastructure Team, Groningenhaven 7, Netherlands; эл. почта: claudia.quintiliani@kwrwater.nl",,"American Society of Civil Engineers (ASCE)",07339496,,,,"English","J. Water Resour. Plann. Manage.",Article,"Final","",Scopus,2-s2.0-85073053256
"S.V. Lund N., Madsen H., Mazzoleni M., Solomatine D., Borup M.","57210285016;57212626483;56069413500;6601958160;56974567100;","Assimilating flow and level data into an urban drainage surrogate model for forecasting flows and overflows",2019,"Journal of Environmental Management","248",, 109052,"","",,2,"10.1016/j.jenvman.2019.05.110","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85070225157&doi=10.1016%2fj.jenvman.2019.05.110&partnerID=40&md5=e4cf003b2276251a9bd319f453f35d9d","Department of Environmental Engineering (DTU Environment), Technical University of Denmark, Bygningstorvet, Building 115, Kgs. Lyngby, 2800, Denmark; DHI, Agern Allé 5, Hørsholm, 2970, Denmark; Hydroinformatics Chair group, IHE Delft Institute for Water Education, Delft, Netherlands; Water Resources Section, Delft University of Technology, Delft, Netherlands; Institute for Water Problems, Russian Academy of Science, Moscow, Russian Federation","S.V. Lund, N., Department of Environmental Engineering (DTU Environment), Technical University of Denmark, Bygningstorvet, Building 115, Kgs. Lyngby, 2800, Denmark; Madsen, H., DHI, Agern Allé 5, Hørsholm, 2970, Denmark; Mazzoleni, M., Hydroinformatics Chair group, IHE Delft Institute for Water Education, Delft, Netherlands; Solomatine, D., Hydroinformatics Chair group, IHE Delft Institute for Water Education, Delft, Netherlands, Water Resources Section, Delft University of Technology, Delft, Netherlands, Institute for Water Problems, Russian Academy of Science, Moscow, Russian Federation; Borup, M., Department of Environmental Engineering (DTU Environment), Technical University of Denmark, Bygningstorvet, Building 115, Kgs. Lyngby, 2800, Denmark","S.V. Lund, N.; Department of Environmental Engineering (DTU Environment), Bygningstorvet, Building 115, Denmark; эл. почта: nalu@env.dtu.dk",,"Academic Press",03014797,,JEVMA,"31466185","English","J. Environ. Manage.",Article,"Final","",Scopus,2-s2.0-85070225157
"Venturini A.B., Assumpção T.H., Popescu I., Jonoski A., Solomatine D.P.","57205510489;57200959132;36598970800;6506344580;6601958160;","Modelling support to citizen observatories for strategic Danube Delta planning: Sontea-Fortuna case study",2019,"Journal of Environmental Planning and Management","62","11",,"1972","1989",,,"10.1080/09640568.2018.1523787","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85060340296&doi=10.1080%2f09640568.2018.1523787&partnerID=40&md5=35c37421047264a80ad70421ee20683b","IHE Delft Institute for Water Education, Delft, Netherlands; Faculty of Civil Engineering, Politechnica University of Timisoara, Romania; Water Resources Section, Delft University of Technology, Delft, Netherlands","Venturini, A.B., IHE Delft Institute for Water Education, Delft, Netherlands; Assumpção, T.H., IHE Delft Institute for Water Education, Delft, Netherlands; Popescu, I., IHE Delft Institute for Water Education, Delft, Netherlands, Faculty of Civil Engineering, Politechnica University of Timisoara, Romania; Jonoski, A., IHE Delft Institute for Water Education, Delft, Netherlands; Solomatine, D.P., IHE Delft Institute for Water Education, Delft, Netherlands, Water Resources Section, Delft University of Technology, Delft, Netherlands","Popescu, I.; IHE Delft Institute for Water EducationNetherlands; эл. почта: i.popescu@un-ihe.org",,"Routledge",09640568,,,,"English","J. Environ. Plann. Manage.",Article,"Final","",Scopus,2-s2.0-85060340296
"Ahmadi A., Nasseri M., Solomatine D.P.","57209361595;35617579700;6601958160;","Parametric uncertainty assessment of hydrological models: coupling UNEEC-P and a fuzzy general regression neural network",2019,"Hydrological Sciences Journal","64","9",,"1080","1094",,6,"10.1080/02626667.2019.1610565","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85067585972&doi=10.1080%2f02626667.2019.1610565&partnerID=40&md5=5789b09b73f544280a27d8b9405dd2bb","School of Civil Engineering, College of Engineering, University of Tehran, Tehran, Iran; Hydroinformatics Group, IHE Delft Institute for Water Education, Delft, Netherlands; Water Resources Section, Delft University of Technology, Delft, Netherlands; Floods Hydrology Lab, Water Problems Institute of Russian Academy of Sciences, Moscow, Russian Federation","Ahmadi, A., School of Civil Engineering, College of Engineering, University of Tehran, Tehran, Iran; Nasseri, M., School of Civil Engineering, College of Engineering, University of Tehran, Tehran, Iran; Solomatine, D.P., Hydroinformatics Group, IHE Delft Institute for Water Education, Delft, Netherlands, Water Resources Section, Delft University of Technology, Delft, Netherlands, Floods Hydrology Lab, Water Problems Institute of Russian Academy of Sciences, Moscow, Russian Federation","Nasseri, M.; School of Civil Engineering, Iran; эл. почта: mnasseri@ut.ac.ir",,"Taylor and Francis Ltd.",02626667,,HSJOD,,"English","Hydrol. Sci. J.",Article,"Final","",Scopus,2-s2.0-85067585972
"Wang A., Solomatine D.P.","57201250411;6601958160;","Practical experience of sensitivity analysis: Comparing six methods, on three hydrological models, with three performance criteria",2019,"Water (Switzerland)","11","5", 1062,"","",,5,"10.3390/w11051062","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85066312124&doi=10.3390%2fw11051062&partnerID=40&md5=2752fb08ccc43ef3f128bfd7e997cafe","College of Hydrology and Water Resources, Hohai University, NO.1 Xikang Road, Nangjing, 210098, China; Chair Group of Hydroinformatics, IHE Delft Institute for Water Education, Westvest 7, Delft, 2611AX, Netherlands; Water Resources Section, Delft University of Technology, Mekelweg 5, Delft, 2628CD, Netherlands; Water Problems Institute, Russian Academy of Sciences, Gubkina 3, Moscow, 117735, Russian Federation","Wang, A., College of Hydrology and Water Resources, Hohai University, NO.1 Xikang Road, Nangjing, 210098, China; Solomatine, D.P., Chair Group of Hydroinformatics, IHE Delft Institute for Water Education, Westvest 7, Delft, 2611AX, Netherlands, Water Resources Section, Delft University of Technology, Mekelweg 5, Delft, 2628CD, Netherlands, Water Problems Institute, Russian Academy of Sciences, Gubkina 3, Moscow, 117735, Russian Federation","Wang, A.; College of Hydrology and Water Resources, NO.1 Xikang Road, China; эл. почта: wanganqi0718@163.com",,"MDPI AG",20734441,,,,"English","Water",Article,"Final","All Open Access, Gold",Scopus,2-s2.0-85066312124
"Marquez-Calvo O.O., Solomatine D.P.","57208343318;6601958160;","Approach to robust multi-objective optimization and probabilistic analysis: The ROPAR algorithm",2019,"Journal of Hydroinformatics","21","3",,"427","440",,2,"10.2166/hydro.2019.095","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85064548851&doi=10.2166%2fhydro.2019.095&partnerID=40&md5=2697c8194309d4e28fe9ca18457c6ef0","IHE Delft Institute for Water Education, Delft, Netherlands; Delft University of Technology, Delft, Netherlands; Water Resources Section, Delft University of Technology, Delft, Netherlands; Water Problems Institute of RAS, Moscow, Russian Federation","Marquez-Calvo, O.O., IHE Delft Institute for Water Education, Delft, Netherlands, Delft University of Technology, Delft, Netherlands; Solomatine, D.P., IHE Delft Institute for Water Education, Delft, Netherlands, Water Resources Section, Delft University of Technology, Delft, Netherlands, Water Problems Institute of RAS, Moscow, Russian Federation","Marquez-Calvo, O.O.; IHE Delft Institute for Water EducationNetherlands; эл. почта: o.marquezcalvo@un-ihe.org",,"IWA Publishing",14647141,,,,"English","J. Hydroinformatics",Article,"Final","All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-85064548851
